throughput,packet_loss,jitter
104.0,0.86,0.005
103.0,2.0,0.006
103.0,1.9,0.006
103.0,0.86,0.257
104.0,1.3,0.011
103.0,1.0,0.01
103.0,1.1,0.052
103.0,2.8,0.306
103.0,1.8,0.005
102.0,2.8,0.015
102.0,2.5,0.206
103.0,1.8,0.044
104.0,1.1,0.33
103.0,1.3,0.016
103.0,2.0,0.429
103.0,1.9,0.291
102.0,2.5,0.009
104.0,1.5,0.01
103.0,1.4,0.11
103.0,1.3,0.008
103.0,2.2,0.427
103.0,1.3,0.005
103.0,2.2,0.131
103.0,1.9,0.03
105.0,0.1,0.153
103.0,1.5,0.008
103.0,1.0,0.054
104.0,1.1,0.244
104.0,0.88,0.189
103.0,1.7,0.154
103.0,1.5,0.007
52.39,1.15,0.004875
52.39,1.15,0.004875
52.39,1.15,0.004875
52.39,1.15,0.004875
52.39,1.15,0.004875
52.39,1.15,0.004875
52.39,1.15,0.004875
1.78,0.8,0.00275
103.0,2.3,0.007
104.0,1.1,0.064
104.0,1.7,0.024
103.0,1.7,0.024
103.0,1.8,0.2
102.0,2.2,0.008
103.0,2.4,0.336
103.0,1.7,0.38
104.0,0.83,0.007
104.0,0.85,0.015
103.0,1.9,0.222
102.0,2.3,0.144
103.0,1.6,0.121
103.0,2.0,0.062
103.0,1.8,0.378
104.0,0.8,0.122
104.0,1.2,0.333
103.0,1.2,0.034
104.0,1.3,0.018
103.0,1.3,0.243
103.0,2.0,0.023
104.0,1.0,0.113
103.0,1.7,0.262
103.0,1.7,0.046
103.0,2.2,0.125
103.0,1.8,0.237
102.0,2.7,0.024
104.0,1.3,0.14
103.0,1.9,0.36
103.0,2.2,0.463
102.0,2.6,0.023
103.0,2.1,0.054
103.0,2.1,0.044
105.0,0.0,0.025
105.0,0.0,0.032
105.0,0.21,0.013
105.0,0.0,0.039
102.0,1.1,0.446
103.0,1.4,0.415
103.0,1.7,0.462
103.0,1.4,0.259
103.0,2.1,0.47
104.0,0.53,0.575
103.0,1.4,0.363
102.0,2.4,0.242
104.0,1.1,0.172
102.0,2.3,0.197
102.0,2.2,0.567
104.0,1.1,0.334
104.0,0.9,0.365
103.0,1.2,0.439
104.0,0.83,0.294
104.0,0.88,0.105
103.0,1.7,0.091
103.0,1.1,0.269
104.0,1.4,0.085
103.0,1.2,0.234
104.0,1.3,0.081
104.0,1.7,0.017
102.0,1.9,0.762
102.0,2.6,0.222
103.0,2.6,0.01
101.0,2.5,0.376
104.0,1.3,0.045
103.0,1.5,0.026
103.0,2.0,0.017
103.0,1.8,0.018
103.0,1.2,0.027
103.0,1.9,0.054
104.0,1.0,0.019
103.0,1.6,0.012
104.0,0.99,0.041
103.0,1.5,0.109
104.0,0.58,0.118
105.0,0.64,0.012
103.0,1.6,0.01
104.0,0.73,0.034
104.0,0.91,0.011
101.0,3.0,0.128
103.0,1.9,0.046
104.0,1.4,0.007
104.0,0.56,0.03
104.0,1.3,0.006
102.0,2.4,0.104
102.0,2.2,0.034
102.0,2.7,0.009
102.0,2.3,0.014
102.0,1.9,0.071
103.0,2.2,0.058
104.0,1.4,0.018
104.0,1.8,0.089
103.0,2.0,0.04
102.0,2.1,0.03
102.0,2.3,0.006
103.0,2.5,0.165
103.0,1.5,0.006
103.0,1.4,0.008
103.0,1.9,0.017
103.0,1.4,0.035
102.0,2.9,0.006
102.0,2.4,0.006
103.0,1.3,0.007
103.0,2.3,0.005
102.0,2.2,0.014
102.0,2.3,0.022
104.0,1.2,0.107
102.0,2.2,0.016
103.0,1.6,0.015
104.0,1.4,0.005
103.0,1.5,0.005
103.0,1.9,0.005
103.0,1.6,0.011
103.0,2.3,0.007
103.0,1.4,0.005
102.0,2.5,0.005
102.0,2.5,0.006
103.0,1.1,0.011
104.0,1.4,0.006
104.0,1.0,0.005
103.0,2.0,0.017
102.0,2.4,0.005
103.0,1.7,0.005
102.0,1.9,0.016
102.0,2.9,0.208
103.0,1.8,0.006
102.0,2.5,0.01
74.875,25.75,0.032999999999999995
47.75,49.0,0.055999999999999994
104.0,1.1,0.016
100.0,3.9,0.007
103.0,1.8,0.01
103.0,1.4,0.046
104.0,1.1,0.008
103.0,2.3,0.008
102.0,3.2,0.027
